1820 860
0 0 1
0 1 1
0 4 1
0 5 1
0 8 1
0 9 1
0 12 1
0 13 1
0 846 1
0 847 1
0 850 1
0 851 1
0 854 1
0 855 1
0 858 1
0 859 1
1 0 1
1 1 1
1 4 1
1 5 1
1 8 1
1 9 1
1 12 1
1 13 1
1 846 1
1 847 1
1 850 1
1 851 1
1 854 1
1 855 1
1 858 1
1 859 1
4 0 1
4 1 1
4 4 1
4 5 1
4 8 1
4 9 1
4 12 1
4 13 1
4 846 1
4 847 1
4 850 1
4 851 1
4 854 1
4 855 1
4 858 1
4 859 1
5 0 1
5 1 1
5 4 1
5 5 1
5 8 1
5 9 1
5 12 1
5 13 1
5 846 1
5 847 1
5 850 1
5 851 1
5 854 1
5 855 1
5 858 1
5 859 1
8 0 1
8 1 1
8 4 1
8 5 1
8 8 1
8 9 1
8 12 1
8 13 1
8 846 1
8 847 1
8 850 1
8 851 1
8 854 1
8 855 1
8 858 1
8 859 1
9 0 1
9 1 1
9 4 1
9 5 1
9 8 1
9 9 1
9 12 1
9 13 1
9 846 1
9 847 1
9 850 1
9 851 1
9 854 1
9 855 1
9 858 1
9 859 1
12 0 1
12 1 1
12 4 1
12 5 1
12 8 1
12 9 1
12 12 1
12 13 1
12 846 1
12 847 1
12 850 1
12 851 1
12 854 1
12 855 1
12 858 1
12 859 1
13 0 1
13 1 1
13 4 1
13 5 1
13 8 1
13 9 1
13 12 1
13 13 1
13 846 1
13 847 1
13 850 1
13 851 1
13 854 1
13 855 1
13 858 1
13 859 1
1806 0 1
1806 1 1
1806 4 1
1806 5 1
1806 8 1
1806 9 1
1806 12 1
1806 13 1
1806 846 1
1806 847 1
1806 850 1
1806 851 1
1806 854 1
1806 855 1
1806 858 1
1806 859 1
1807 0 1
1807 1 1
1807 4 1
1807 5 1
1807 8 1
1807 9 1
1807 12 1
1807 13 1
1807 846 1
1807 847 1
1807 850 1
1807 851 1
1807 854 1
1807 855 1
1807 858 1
1807 859 1
1810 0 1
1810 1 1
1810 4 1
1810 5 1
1810 8 1
1810 9 1
1810 12 1
1810 13 1
1810 846 1
1810 847 1
1810 850 1
1810 851 1
1810 854 1
1810 855 1
1810 858 1
1810 859 1
1811 0 1
1811 1 1
1811 4 1
1811 5 1
1811 8 1
1811 9 1
1811 12 1
1811 13 1
1811 846 1
1811 847 1
1811 850 1
1811 851 1
1811 854 1
1811 855 1
1811 858 1
1811 859 1
1814 0 1
1814 1 1
1814 4 1
1814 5 1
1814 8 1
1814 9 1
1814 12 1
1814 13 1
1814 846 1
1814 847 1
1814 850 1
1814 851 1
1814 854 1
1814 855 1
1814 858 1
1814 859 1
1815 0 1
1815 1 1
1815 4 1
1815 5 1
1815 8 1
1815 9 1
1815 12 1
1815 13 1
1815 846 1
1815 847 1
1815 850 1
1815 851 1
1815 854 1
1815 855 1
1815 858 1
1815 859 1
1818 0 1
1818 1 1
1818 4 1
1818 5 1
1818 8 1
1818 9 1
1818 12 1
1818 13 1
1818 846 1
1818 847 1
1818 850 1
1818 851 1
1818 854 1
1818 855 1
1818 858 1
1818 859 1
1819 0 1
1819 1 1
1819 4 1
1819 5 1
1819 8 1
1819 9 1
1819 12 1
1819 13 1
1819 846 1
1819 847 1
1819 850 1
1819 851 1
1819 854 1
1819 855 1
1819 858 1
1819 859 1
