1500 680
12 26 1
13 19 1
13 20 1
13 26 1
13 32 1
13 33 1
14 19 1
14 20 1
14 26 1
14 32 1
14 33 1
18 12 1
18 13 1
18 39 1
18 40 1
19 11 1
19 14 1
19 38 1
19 41 1
20 10 1
20 14 1
20 38 1
20 42 1
21 10 1
21 16 1
21 36 1
21 42 1
22 10 1
22 17 1
22 22 1
22 23 1
22 29 1
22 30 1
22 35 1
22 42 1
23 17 1
23 21 1
23 22 1
23 24 1
23 28 1
23 30 1
23 31 1
23 35 1
24 17 1
24 23 1
24 24 1
24 25 1
24 27 1
24 28 1
24 29 1
24 35 1
25 12 1
25 15 1
25 16 1
25 25 1
25 27 1
25 36 1
25 37 1
25 40 1
26 12 1
26 16 1
26 25 1
26 27 1
26 36 1
26 40 1
27 12 1
27 13 1
27 23 1
27 29 1
27 39 1
27 40 1
28 23 1
28 24 1
28 25 1
28 27 1
28 28 1
28 29 1
29 21 1
29 31 1
30 20 1
30 25 1
30 27 1
30 32 1
31 20 1
31 32 1
32 21 1
32 22 1
32 24 1
32 25 1
32 27 1
32 28 1
32 30 1
32 31 1
33 21 1
33 22 1
33 23 1
33 29 1
33 30 1
33 31 1
74 30 1
74 31 1
75 25 1
75 26 1
75 30 1
75 31 1
76 24 1
76 26 1
77 26 1
102 21 1
102 22 1
102 23 1
102 27 1
102 28 1
102 29 1
104 19 1
104 24 1
104 26 1
104 31 1
105 19 1
105 24 1
105 26 1
105 31 1
106 19 1
106 24 1
106 26 1
106 31 1
107 21 1
107 22 1
107 23 1
107 27 1
107 28 1
107 29 1
109 21 1
109 22 1
109 23 1
109 27 1
109 28 1
109 29 1
110 19 1
110 24 1
110 26 1
110 31 1
111 19 1
111 24 1
111 26 1
111 31 1
112 19 1
112 24 1
112 26 1
112 31 1
114 21 1
114 22 1
114 23 1
114 27 1
114 28 1
114 29 1
